property_id,feature_name,feature_category,feature_value,is_public
P001,cenote privado,amenidad exterior,cenote natural en jardín posterior con acceso privado y escalinata de piedra caliza,sí
P001,doble altura en sala,arquitectura interior,sala principal con doble altura de 6.5 metros,sí
P001,cocina italiana,cocina,cocina con isla central y herrajes Blum importados de Italia,sí
P001,seguridad 24h,seguridad,vigilancia privada en acceso con cámaras y guardia permanente,sí
P001,cuarto de servicio independiente,distribución,cuarto de servicio con baño propio y entrada exterior independiente,sí
P001,sistema de riego automatizado,exterior,riego por goteo con temporizador programable para jardín de 1200 m²,sí
P002,rooftop con alberca elevada,amenidad edificio,rooftop comunitario con alberca elevada y vista panorámica a la ciudad,sí
P002,sala de negocios,amenidad edificio,sala privada de reuniones con proyector y conexión de fibra óptica,sí
P002,gimnasio equipado,amenidad edificio,gimnasio con equipo Technogym en piso 3 del edificio,sí
P002,lobby doble altura,arquitectura edificio,lobby de acceso con doble altura y concierge en horario vespertino,sí
P002,cocina amueblada,cocina,cocina con muebles de línea italiana equipada con electrodomésticos Bosch,sí
P002,bodegas climatizadas,almacenamiento,bodega individual asignada por unidad con control de temperatura,sí
P003,alberca desbordante,amenidad exterior,alberca tipo infinity con borde de piedra caliza natural,sí
P003,palapa con asador,exterior,palapa de palma con área de asador en acero inoxidable y fregadero exterior,sí
P003,bodega de vinos climatizada,interior premium,bodega de vinos con capacidad para 400 botellas y control de temperatura independiente,sí
P003,cuarto de pánico,seguridad,cuarto de pánico con puerta blindada comunicación directa y UPS propio,no
P003,jardín con iluminación arquitectónica,exterior,jardín de 3500 m² con sistema de iluminación LED empotrado en ruta y árboles,sí
P003,cuatro cuartos de servicio,distribución,cuatro cuartos de servicio con baños propios y acceso independiente del área familiar,no
P003,generador eléctrico,infraestructura,generador de 25 kVA con arranque automático que cubre 100% de la carga de la villa,sí
P004,bóveda catalana original,arquitectura histórica,techos de bóveda catalana del siglo XX en estado original restaurado,sí
P004,patio central con fuente,arquitectura histórica,patio central con fuente de cantera y vegetación tropical establecida,sí
P004,pisos de mosaico original,acabados históricos,pisos de mosaico hidráulico original en toda la planta baja,sí
P004,fachada protegida INAH,restricción legal,fachada catalogada por el INAH que limita modificaciones exteriores,no
P004,pozo de agua,infraestructura,pozo de agua propio con bomba sumergible en buen estado,sí
P005,terraza en azotea,amenidad exterior,terraza privada en azotea de 35 m² con asador y vista a la privada,sí
P005,portón eléctrico con videoportero,seguridad,acceso a privada con portón eléctrico y videoportero por unidad,sí
P005,cocina abierta,cocina,cocina integrada al área social con barra de granito negro,sí
P006,balcón con vista a la ciudad,arquitectura exterior,balcón de 18 m² con vista al norte de Mérida desde piso 8,sí
P006,coworking en edificio,amenidad edificio,área de coworking con mesas individuales y sala de juntas en planta baja,sí
P006,cocina totalmente equipada,cocina,cocina amueblada con refrigerador vitrocerámica y lavaplatos incluidos,sí
P006,parrilla en rooftop,amenidad edificio,área de parrilla con mesas de uso comunitario en azotea del edificio,sí
P007,jardín maduro con árboles establecidos,exterior,jardín de 900 m² con árboles de más de 20 años incluyendo huaya y ceiba,sí
P007,alberca de 12 metros,amenidad exterior,alberca rectangular de 12 metros con acabado en piedra y zona de chapoteadero,sí
P007,estudio independiente,distribución,estudio separado del área principal con acceso propio y baño completo,sí
P007,bodega de 40 m²,almacenamiento,bodega techada de 40 m² con estantería y acceso desde jardín lateral,sí
P007,cuarto de servicio con baño,distribución,cuarto de servicio con baño propio dentro del cuerpo principal de la casa,sí
P009,terraza privada de 120 m²,amenidad exterior,terraza exclusiva de la unidad con alberca propia de 6 metros y jacuzzi,sí
