offer_id,property_id,lead_id,agent_id,offer_amount_mxn,offer_date,offer_status,counteroffer_amount_mxn,closing_window_days,financing_type,deposit_pct,notes_internal
O001,P015,L001,AGT-02,13500000,2024-01-14,contraoferta activa,14800000,30,contado,10,Gabriela ofreció 13.5M sobre precio de 16.2M. Dueño contravino con 14.8M. Gap de 1.3M. Gabriela aún deliberando con su esposo. Alta probabilidad de cierre si se acercan 500K más.
O002,P007,L015,AGT-08,11000000,2024-01-26,contraoferta activa,12000000,45,contado,10,Rossana ofreció 11M sobre precio de 12.4M. Dueño bajó a 12M. Gap de 1M. Rossana tiene apego emocional alto a la propiedad. El árbol del jardín es el argumento de cierre. Trabajar ese ángulo.
O003,P026,L017,AGT-12,3000000,2024-01-21,aceptada,0,21,contado,15,Ana Cecilia ofreció 3M sobre precio de 3.2M. Propietario aceptó sin contraoferta. Cierre limpio. Notaría programada para el 11 de febrero. Expediente en orden.
O004,P004,L003,AGT-03,8500000,2024-02-01,en revisión legal,0,60,contado,10,Sophie ofreció 8.5M sobre precio de 9.8M. El propietario no rechazó pero pidió tiempo para revisar con su apoderado. El proceso legal de fideicomiso para extranjera alarga los tiempos. Emilio Dzul está coordinando.
O005,P002,L004,AGT-05,6800000,2024-01-18,aceptada,0,45,crédito bancario,5,Andrés ofreció 6.8M sobre precio de 7.2M. Propietario aceptó con condición de que el crédito BBVA se formalice en 30 días. Pre-aprobación de 5.5M confirmada. Diferencial de 1.3M en contado. En proceso de formalización bancaria.
O006,P031,L031,AGT-02,13800000,2024-01-31,contraoferta activa,14200000,30,contado,10,Armando ofreció 13.8M sobre precio de 14.5M. Dueño bajó a 14.2M. Gap de 400K. Armando está muy cerca. El informe técnico del generador que pidió puede ser el detonador del cierre si llega limpio.
O007,P037,L039,AGT-01,20000000,2024-02-08,en negociación,21500000,21,contado,15,Lorenzo ofreció 20M sobre precio de 21.5M. Vendedor firme en precio por su arquitecto diseñador que no quiere sentar precedente de descuento. Gap de 1.5M. Lorenzo tiene capacidad pero usa el precio como posición. Trabajar valor de plusvalía del corredor como argumento.
O008,P019,L025,AGT-01,26000000,2024-02-09,en negociación,28000000,30,contado,10,Rafael ofreció 26M sobre precio de 28.5M pero el dueño contravino en 28M. Gap de 2M. Situación del vendedor (divorcio activo) genera presión de tiempo a su favor. Rafael lo sabe. Manejar con cuidado extremo sin explotar la situación del dueño.
O009,P022,L021,AGT-01,0,2024-01-26,carta de intención firmada,0,14,renta mensual,0,Patricio firmó carta de intención para renta de P022 a 75K mensuales. Empresa avala contrato. Papelería corporativa recibida el 24 de enero. Notaría coordinando contrato de arrendamiento. Sin depósito porque la empresa responde con garantía corporativa.
O010,P006,L022,AGT-06,0,2024-01-23,carta de intención firmada,0,10,renta mensual,0,Luciana firmó carta de intención para P006 a 55K mensuales con contrato de 12 meses. Depósito de un mes acordado. Llegará a Mérida el 5 de febrero. Entrega de llaves programada el mismo día.
