viewing_id,property_id,lead_id,agent_id,scheduled_at,visit_type,status,feedback_summary,interest_level,objections,follow_up_required
V001,P015,L001,AGT-02,2024-01-11 11:00:00,presencial,realizada,Gabriela llegó con su esposo. Recorrido de 45 minutos. La sala de cine y el jardín fueron los puntos más comentados. Se quedaron más tiempo del programado.,alto,Precio percibido como el límite de su rango. Preguntaron si había flexibilidad.,sí
V002,P007,L015,AGT-08,2024-01-19 10:00:00,presencial,realizada,Rossana llegó sola y recorrió el jardín tres veces. El árbol central fue el elemento decisivo. Poco interés en las recámaras secundarias.,muy alto,Cuarto de servicio pequeño. Bodega sin acceso directo desde cocina.,sí
V003,P027,L015,AGT-08,2024-01-19 12:30:00,presencial,realizada,Visita el mismo día que P007. Menor conexión emocional. El jardín más nuevo no convenció. Comparó constantemente con P007 a favor de esta última.,medio,Jardín sin madurez. Recámara principal sin doble closet. Precio similar a P007 pero con menos carácter.,no
V004,P004,L003,AGT-03,2024-01-20 10:00:00,presencial,realizada,Sophie visitó con atención técnica y emocional. Bóveda catalana y patio central fueron los ganchos. Preguntó sobre el proceso de fideicomiso para extranjeros durante el recorrido.,muy alto,Restricción INAH sobre modificaciones a fachada. Proceso legal más largo que una propiedad convencional.,sí
V005,P003,L002,AGT-01,2024-01-16 10:30:00,presencial,realizada,Ricardo y su esposa hicieron preguntas distintas: él por seguridad perimetral y cámaras ella por habitaciones de servicio y cocina. Tour de una hora. Buen ambiente general.,alto,Quieren ver más opciones antes de decidir. El estudio no tiene ventana exterior.,sí
V006,P026,L017,AGT-12,2024-01-19 11:00:00,presencial,realizada,Ana Cecilia llegó puntual. Recorrido rápido y decisivo. El balcón con vista directa al mar fue el argumento definitivo. Preguntó por tiempos de escrituración antes de salir.,muy alto,Cuarto de lavandería no está en la unidad sino en área común del piso.,sí
V007,P031,L031,AGT-02,2024-01-29 10:00:00,presencial,realizada,Armando llegó solo. Recorrido metódico. Midió cuartos a ojo revisó presión de agua y preguntó por el proveedor del generador. Perfil técnico que inspecciona más que siente.,muy alto,Quiere ficha técnica del generador y especificaciones del sistema eléctrico antes de avanzar.,sí
V008,P037,L033,AGT-07,2024-01-28 10:00:00,presencial,realizada,Diego llegó con cuaderno. Pasó 20 minutos en la fachada antes de entrar. Encontró un remate de concreto aparente en esquina norte que no resolvió bien. Lo documentó sin drama.,alto,Remate de concreto en esquina norte con ejecución imperfecta. Pide respuesta del arquitecto diseñador.,sí
V009,P037,L039,AGT-01,2024-02-03 10:00:00,presencial,realizada,Tour privado ejecutivo. Lorenzo pasó 90 minutos. Pocas fotos pero muchas preguntas sobre domótica y automatización. Presentación impresa entregada al inicio del recorrido.,muy alto,Sistema de automatización no incluye control de riego exterior. Quiere ampliarlo antes de cerrar.,sí
V010,P003,L039,AGT-01,2024-02-03 12:30:00,presencial,realizada,Segunda parada del tour privado. Lorenzo recorrió el exterior con atención al perímetro y accesos. Interior calificado como premium pero diseño más convencional que P037.,medio,Diseño interior menos singular que P037. Alberca más pequeña. Menos impacto visual en acceso.,no
V011,P003,L025,AGT-01,2024-02-05 09:00:00,presencial,realizada,Rafael recorrió con atención a materiales y sistema constructivo. Conoce el nivel del mercado. Hizo preguntas que implican experiencia previa en adquisición de propiedades de este rango.,alto,Precio por m² ligeramente alto vs comparable en Cancún. Jardín posterior sin privacidad visual desde colindante.,sí
V012,P019,L025,AGT-01,2024-02-05 11:30:00,presencial,realizada,Segunda parada de Rafael. La alberca infinita y el jardín de 2200 m² fueron determinantes. Fue directo al final: esta es la que quiere. Pidió información del vendedor.,muy alto,Circunstancias del vendedor generan incertidumbre en timeline de cierre.,sí
V013,P002,L004,AGT-05,2024-01-16 15:00:00,presencial,realizada,Andrés recorrió con criterio de inversionista. Revisó amenidades y preguntó por la ocupación actual del edificio y el perfil de los otros arrendatarios.,alto,Cuota de mantenimiento alta. Quiere entender qué cubre exactamente antes de comprometerse.,sí
