interaction_id,lead_id,agent_id,property_id,channel,direction,interaction_datetime,summary,sentiment,intent,next_action,next_action_due,visibility
I001,L001,AGT-02,,instagram,entrante,2024-01-08 10:14:00,Lead llegó por DM en Instagram preguntando por casas en Altabrisa con alberca. Respondió bien al contenido de P015. Solicitó información de precios.,positivo,exploración,Enviar ficha de P015 y P031 por WhatsApp,2024-01-09,equipo
I002,L001,AGT-02,P015,whatsapp,saliente,2024-01-09 09:30:00,Se enviaron fichas de P015 y P031. Respondió en menos de 20 minutos. Preguntó si había algo disponible antes de Semana Santa.,muy positivo,calificación,Agendar visita presencial a P015,2024-01-10,equipo
I003,L001,AGT-02,P015,visita presencial,saliente,2024-01-11 11:00:00,Visita a P015. Gabriela llegó con su esposo. Recorrido de 45 minutos. Le encantó la sala de cine y el jardín. Preguntó si el precio era negociable. No lo es.,muy positivo,intención de compra,Presentar carta oferta formal,2024-01-12,equipo
I004,L001,AGT-02,P015,whatsapp,entrante,2024-01-13 18:45:00,Escribió para preguntar si podían obtener tiempo adicional para revisar con su notario antes de firmar carta oferta. Tono ansioso pero comprometido.,positivo,negociación,Coordinar con notario del cliente,2024-01-15,equipo
I005,L002,AGT-01,,referido,entrante,2024-01-10 09:00:00,Referido por OWN-027. Primera llamada de 20 minutos. Ricardo busca villa grande en privada para familia de cinco. Presupuesto entre 15M y 28M. Esposa toma la decisión final.,positivo,calificación,Agendar cita con Ricardo y su esposa,2024-01-14,equipo
I006,L002,AGT-01,P003,visita presencial,saliente,2024-01-16 10:30:00,Tour de P003 con Ricardo y su esposa. Ella preguntó por el cenote y las habitaciones de servicio. Él por la seguridad de la privada. Ambos interesados pero quieren ver más opciones.,positivo,exploración,Mostrar P019 cuando esté disponible,2024-01-17,equipo
I007,L003,AGT-03,,portal inmobiliario,entrante,2024-01-12 14:22:00,Formulario en portal con interés en casa colonial. Respondió email inicial con buena ortografía en inglés. Ciudadana francesa. Visita a Mérida en enero.,positivo,exploración,Enviar catálogo colonial en inglés por email,2024-01-13,equipo
I008,L003,AGT-03,P004,email,saliente,2024-01-13 10:00:00,Se enviaron fichas de P004 y descripción de zona Centro Histórico en inglés. Sophie respondió con tres preguntas técnicas sobre el estado estructural y la restricción INAH.,positivo,calificación,Responder preguntas técnicas con dictamen de estructuras,2024-01-15,equipo
I009,L003,AGT-03,P004,email,entrante,2024-01-15 16:30:00,Sophie confirma visita para el 20 de enero durante su estancia en Mérida. Pide que la reunión sea en inglés o francés. Tono cálido y profesional.,muy positivo,agenda visita,Confirmar logística de visita y preparar material en inglés,2024-01-16,equipo
I010,L003,AGT-03,P004,visita presencial,saliente,2024-01-20 10:00:00,Visita a P004 con Sophie. Quedó encantada con la bóveda catalana y el patio. Preguntó sobre proceso de compra para extranjeros y fideicomiso. Hay interés real pero proceso es largo.,muy positivo,exploración legal,Conectar a Sophie con Emilio Dzul para asesoría legal de extranjeros,2024-01-21,equipo
I011,L004,AGT-05,,sitio web meridiana,entrante,2024-01-09 11:50:00,Formulario web con datos claros: inversionista busca depto para renta con pre-aprobación BBVA de 5.5M. Quiere ROI proyectado.,positivo,calificación,Enviar análisis de mercado por zona norte,2024-01-10,equipo
I012,L004,AGT-05,P002,whatsapp,saliente,2024-01-10 12:00:00,Se envió análisis de ocupación de zona Altabrisa y ficha de P002. Andrés respondió con preguntas sobre mantenimiento mensual y contrato de administración.,positivo,calificación,Preparar simulación de ROI para P002,2024-01-12,equipo
I013,L004,AGT-05,P002,llamada,saliente,2024-01-14 16:00:00,Llamada de 30 minutos. Se presentó simulación de ROI con renta proyectada de 28K mensuales. Andrés quedó satisfecho. Solicitó visita al edificio.,muy positivo,intención de compra,Agendar visita a P002 esta semana,2024-01-15,equipo
I014,L005,AGT-05,,feria inmobiliaria,entrante,2024-01-20 13:00:00,Pareja se acercó al stand de Meridiana en expo. Formulario completado. INFONAVIT en proceso. Buscan primera casa con escuelas cercanas. Zona Santa Gertrudis o Cholul.,neutral,exploración,Llamar para calificar avance de crédito INFONAVIT,2024-01-22,equipo
I015,L005,AGT-05,,llamada,saliente,2024-01-22 10:30:00,Llamada de seguimiento. INFONAVIT aún en dictamen. Complemento bancario en estudio de crédito. Timeline incierto. Se les explicó el proceso. Quedaron tranquilos.,neutral,calificación,Seguimiento mensual hasta que crédito esté aprobado,2024-02-22,equipo
