property_id,listing_code,commercial_name,title,property_type,listing_type,status,price_mxn,maintenance_fee_mxn,bedrooms,bathrooms,parking_spaces,construction_m2,lot_m2,year_built,furnished,pet_friendly,address_line,neighborhood,municipality,state,postal_code,latitude,longitude,gated_community,luxury_tier,days_on_market,agent_id,owner_id,public_description,internal_summary,,,,
P001,MER-2024-001,Hydraterra,Residencia en Montecristo con cenote privado,casa,venta,activa,18500000,4500,5,5.5,3,620,1200,2019,no,no,Calle 34 #215 entre 25 y 27,Montecristo,Mérida,Yucatán,97133,21.0285,-89.5932,sí,ultra,12,AGT-01,OWN-011,Residencia de cinco recámaras con doble altura en sala principal. Cenote privado en jardín posterior. Cocina italiana con isla central. Cuarto de servicio independiente. Seguridad 24 horas.,Cliente discreto. Precio firme. No acepta visitas sin cita previa confirmada. Interesados de alto perfil únicamente.,,,,
P002,MER-2024-002,Acrocaelum,Departamento en Torre Cúspide con vista panorámica,depto,venta,activa,7200000,3800,3,3,2,198,0,2022,sí,no,Avenida Prolongación Montejo #480 Piso 14,Altabrisa,Mérida,Yucatán,97130,21.0412,-89.6051,sí,premium,27,AGT-02,OWN-022,Departamento en piso 14 con vista a la ciudad. Tres recámaras con walk-in closet. Amenidades: rooftop, gimnasio, sala de negocios y alberca elevada.,Ocupante actual sale en enero. Posible negociación en precio si cierre es antes de fin de año.,,
P003,MER-2024-003,Megazamá,Villa contemporánea en Temozón Norte,villa,venta,activa,32000000,6000,6,6.5,4,980,3500,2021,no,sí,Carretera Temozón Norte Km 4.2 Lote 8,Temozón Norte,Mérida,Yucatán,97302,21.0891,-89.5743,sí,ultra,8,AGT-01,OWN-033,Villa de seis recámaras en privada con 12 casas. Alberca desbordante, palapa, jardín con iluminación arquitectónica. Bodega de vinos climatizada. A 10 minutos del norte de Mérida.,Vendedor motivado. Construyó para uso propio pero se reubica a CDMX. Acepta permuta parcial con propiedad en Polanco.,,
P004,MER-2024-004,Chronovita,Casa colonial restaurada en el Centro Histórico,casa,venta,activa,9800000,0,4,3.5,2,480,620,1920,no,no,Calle 60 #310 x 35 y 37,Centro Histórico,Mérida,Yucatán,97000,20.9677,-89.6237,no,premium,45,AGT-03,OWN-044,Casa colonial del siglo XX completamente restaurada. Techos de bóveda catalana, pisos de mosaico original, patio central con vegetación tropical. Fachada protegida por INAH.,Requiere verificación de uso de suelo para uso mixto. El comprador tiene interés en convertirla en boutique hotel. Asesorar con cuidado legal.,,
P005,MER-2024-005,Moduluúm,Townhouse en Privada Santa Gertrudis,townhouse,venta,activa,4100000,1800,3,2.5,2,210,180,2023,no,sí,Privada Santa Gertrudis #7,Santa Gertrudis Copó,Mérida,Yucatán,97109,21.0538,-89.6312,sí,entrada,18,AGT-02,OWN-055,Townhouse de tres niveles en privada de ocho unidades. Acabados de primera, terraza en azotea con asador. Excelente conectividad al norte de la ciudad.,Primera adquisición del dueño. Precio acorde al mercado. Buen candidato para joven profesionista o pareja.,,,
P006,MER-2024-006,Symbiópolis,Departamento de lujo en Courtyard Mérida Norte,depto,renta,activa,55000,2200,2,2,1,145,0,2020,sí,no,Calle 20 #98 x 17 y 19 Piso 8,Chuburná de Hidalgo,Mérida,Yucatán,97205,21.031,-89.6198,sí,premium,5,AGT-03,OWN-066,Departamento amueblado de dos recámaras con balcón. Edificio con lobby de doble altura, coworking y rooftop con parrilla. Disponible inmediato.,Propietario busca arrendatario de perfil ejecutivo. Contrato mínimo 12 meses. No estudiantes.,,,
P007,MER-2024-007,Biofilum,Residencia en García Ginerés con alberca y jardín,casa,venta,activa,12400000,0,4,4,3,520,900,2005,no,sí,Calle 21 #440 x 36 y 38,García Ginerés,Mérida,Yucatán,97070,20.9812,-89.6289,no,premium,33,AGT-01,OWN-077,Casa de cuatro recámaras en zona consolidada y arbolada. Alberca de 12 metros, jardín maduro, estudio independiente. Tres cuartos de servicio. Bodega de 40 m².,Dueño radica en el exterior. Gestión vía apoderado legal. Precio con margen de negociación del 8%.,,
P008,MER-2024-008,Topoplano,Terreno en Dzityá para desarrollo residencial,terreno,venta,activa,5600000,0,0,0,0,0,2800,0,no,no,Carretera Dzityá s/n lote 14,Dzityá,Mérida,Yucatán,97302,21.0743,-89.6891,no,entrada,60,AGT-04,OWN-088,Terreno de 2800 m² en zona de crecimiento hacia el poniente. Servicios en calle. Uso de suelo habitacional. Ideal para desarrollo de seis a ocho casas.,Dueño urgido. Ha bajado precio dos veces. Posibilidad de financiamiento directo con enganche del 30%.,,,,
P009,MER-2024-009,Aethelsky,Penthouse en Mérida en el exclusivo edificio Ánfora,depto,venta,activa,14900000,5500,4,4.5,3,380,0,2023,sí,no,Avenida Constituyentes #1200 Piso 18,Norte Mérida,Mérida,Yucatán,97128,21.0455,-89.5981,sí,ultra,21,AGT-01,OWN-099,Penthouse de cuatro recámaras en el piso más alto del edificio Ánfora. Terraza privada de 120 m² con alberca propia, jacuzzi y vista 360°. Cocina Gaggenau. Cava integrada.,Unidad única en el edificio. El desarrollador la retuvo para uso propio y ahora la libera. Sin comparables directos en el mercado.,,,
P010,MER-2024-010,Regallá,Casa en Yucatán Country Club,casa,venta,apartada,22000000,8000,5,5,4,750,1100,2017,no,no,Boulevard Country Club #330,Yucatán Country Club,Mérida,Yucatán,97308,21.0201,-89.7012,sí,ultra,0,AGT-02,OWN-010,Residencia frente al campo de golf. Cinco recámaras, sala de cine, gimnasio privado, cuarto de servicio con entrada independiente. Acabados importados de Europa.,Propiedad apartada con el 10% de enganche. Cierre programado para 60 días. No mostrar a nuevos prospectos.,
